,Song,Artist,Weeks On #1,Weeks On Chart,Peak Rank
1056,Sign Of The Times,Harry Styles,0,13,4
1057,Now Or Never,Halsey,0,20,17
1058,Unforgettable,Thomas Rhett,0,42,3
1059,Everyday We Lit,YFN Lucci Featuring PnB Rock,0,20,33
1060,Cake,Flo Rida & 99 Percent,0,6,73
1061,Bar At The End Of The World,Kenny Chesney,0,0,92
1062,Weak,AJR,0,11,73
1063,If I Told You,Darius Rucker,0,11,53
1064,Flatliner,Cole Swindell,0,18,56
1065,DNA.,Kendrick Lamar,0,20,4
1066,Loyalty.,Kendrick Lamar Featuring Rihanna,0,26,14
1067,Element.,Kendrick Lamar,0,11,16
1068,Love.,Kendrick Lamar Featuring Zacari,0,40,11
1069,Yah.,Kendrick Lamar,0,3,32
1070,XXX.,Kendrick Lamar Featuring U2,0,3,33
1071,Feel.,Kendrick Lamar,0,2,35
1072,Pride.,Kendrick Lamar,0,2,37
1073,The Cure,Lady Gaga,0,14,39
1074,Lust.,Kendrick Lamar,0,2,42
1075,Fear.,Kendrick Lamar,0,2,50
1076,Blood.,Kendrick Lamar,0,0,54
1077,God.,Kendrick Lamar,0,2,58
1078,Duckworth.,Kendrick Lamar,0,0,63
1079,Good Life,G-Eazy & Kehlani,0,5,59
1080,Peek A Boo,Lil Yachty Featuring Migos,0,4,78
1081,Black SpiderMan,Logic Featuring Damian Lemar Hudson,0,0,87
1082,Broken Halos,Chris Stapleton,0,20,45
1083,The Night We Met,Lord Huron,0,4,84
1084,There's Nothing Holdin' Me Back,Shawn Mendes,0,34,6
1085,Lust For Life,Lana Del Rey Featuring The Weeknd,0,0,64
1086,Do Re Mi,blackbear,0,25,40
1087,Hard Times,Paramore,0,0,90
1088,My Girl,Dylan Scott,0,20,39
1089,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",0,22,1
1090,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,0,42,3
1091,First Time,Kygo & Ellie Goulding,0,0,67
1092,Thunder,Imagine Dragons,0,52,4
1093,Bon Appetit,Katy Perry Featuring Migos,0,6,59
1094,Privacy,Chris Brown,0,17,62
1095,Slow Hands,Niall Horan,0,31,11
1096,Magnolia,Playboi Carti,0,20,29
1097,Sweet Creature,Harry Styles,0,0,93
1098,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,0,10,76
1099,Malibu,Miley Cyrus,0,15,10
1100,Every Time I Hear That Song,Blake Shelton,0,11,56
1101,Either Way,Chris Stapleton,0,2,89
1102,Drinkin' Problem,Midland,0,20,45
1103,Rollin,Calvin Harris Featuring Future & Khalid,0,4,62
1104,Bad Liar,Selena Gomez,0,14,20
1105,Whatever It Takes,Imagine Dragons,0,27,12
1106,Felices Los 4,Maluma,0,20,48
1107,No Promises,Cheat Codes Featuring Demi Lovato,0,23,38
1108,Ghost In This House,Lauren Duski,0,0,98
1109,Me Enamore,Shakira,0,2,83
1110,Strip That Down,Liam Payne Featuring Quavo,0,28,10
1111,Swish Swish,Katy Perry Featuring Nicki Minaj,0,10,46
1112,Crying In The Club,Camila Cabello,0,9,47
1113,Money On You,Chris Blue,0,0,66
1114,Yours If You Want It,Rascal Flatts,0,10,71
1115,Most Girls,Hailee Steinfeld,0,16,58
1116,The Dance,Lauren Duski,0,0,92
1117,Boy,Lee Brice,0,0,94
1118,Somethin Tells Me,Bryson Tiller,0,0,74
1119,Self-Made,Bryson Tiller,0,0,85
1120,Met Gala,Gucci Mane Featuring Offset,0,2,88
1121,Don't Get Too High,Bryson Tiller,0,0,89
1122,No Such Thing As A Broken Heart,Old Dominion,0,19,46
1123,Run Me Dry,Bryson Tiller,0,0,91
1124,There For You,Martin Garrix x Troye Sivan,0,0,94
1125,No Longer Friends,Bryson Tiller,0,0,98
1126,Butterfly Effect,Travis Scott,0,23,50
1127,Strangers,Halsey Featuring Lauren Jauregui,0,0,100
1128,To The Max,DJ Khaled Featuring Drake,0,4,53
1129,4 AM,2 Chainz Featuring Travis Scott,0,12,55
1130,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,0,13,51
1131,Small Town Boy,Dustin Lynch,0,20,36
1132,Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",0,3,87
1133,It's Everyday Bro,Jake Paul Featuring Team 10,0,2,91
1134,Somebody Else Will,Justin Moore,0,13,59
1135,Nobody Else But You,Trey Songz,0,3,92
1136,2U,David Guetta Featuring Justin Bieber,0,11,16
1137,Love Galore,SZA Featuring Travis Scott,0,20,32
1138,Do I Make You Wanna,Billy Currington,0,19,47
1139,Escapate Conmigo,Wisin Featuring Ozuna,0,20,63
1140,What Ifs,Kane Brown Featuring Lauren Alaina,0,23,26
1141,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",0,20,44
1142,It Ain't My Fault,Brothers Osborne,0,16,79
1143,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,0,21,2
1144,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",0,18,20
1145,Relationship,Young Thug Featuring Future,0,14,65
1146,Feel It Still,Portugal. The Man,0,45,4
1147,Real Hitta,Plies Featuring Kodak Black,0,0,100
1148,Signs,Drake,0,6,36
1149,Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,0,0,68
1150,No Complaints,Metro Boomin Featuring Offset & Drake,0,5,71
1151,On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",0,0,88
1152,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,0,21,45
1153,Mi Gente,J Balvin & Willy William Featuring Beyonce,0,30,3
1154,Rake It Up,Yo Gotti Featuring Nicki Minaj,0,22,8
1155,Bodak Yellow (Money Moves),Cardi B,3,35,1
1156,Who Dat Boy,"Tyler, The Creator",0,0,87
1157,Heartache On The Dance Floor,Jon Pardi,0,18,47
1158,Extra Luv,Future Featuring YG,0,0,99
1159,The Story Of O.J.,JAY-Z,0,3,23
1160,Praying,Kesha,0,21,22
1161,Bank Account,21 Savage,0,29,12
1162,4:44,JAY-Z,0,2,35
1163,Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",0,0,47
1164,Family Feud,JAY-Z Featuring Beyonce,0,0,51
1165,Kill Jay Z,JAY-Z,0,0,55
1166,Smile,JAY-Z Featuring Gloria Carter,0,0,56
1167,Caught Their Eyes,JAY-Z Featuring Frank Ocean,0,0,63
1168,Moonlight,XXXTENTACION,0,20,13
1169,Glorious,Macklemore Featuring Skylar Grey,0,19,49
1170,Marcy Me,JAY-Z,0,0,90
1171,Fetish,Selena Gomez Featuring Gucci Mane,0,12,27
1172,A Lie,French Montana Featuring The Weeknd & Max B,0,0,75
1173,Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,0,0,86
1174,Young Dumb & Broke,Khalid,0,36,18
1175,Woman,Kesha Featuring The Dap-Kings Horns,0,0,96
1176,Numb,XXXTENTACION,0,33,34
1177,In The End,Linkin Park,0,39,37
1178,Back To You,Selena Gomez,0,26,18
1179,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",0,3,61
1180,Wins & Losses,Meek Mill,0,0,79
1181,It's Goin' Down,Descendants 2 Cast,0,4,77
1182,1942 Flows,Meek Mill,0,0,83
1183,Imitadora,Romeo Santos,0,0,91
1184,We Ball,Meek Mill Featuring Young Thug,0,0,96
1185,F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,0,0,97
1186,Heavy Heart,Meek Mill,0,0,99
1187,You Da Baddest,Future Featuring Nicki Minaj,0,2,38
1188,When It Rains It Pours,Luke Combs,0,20,33
1189,They Don't Know,Jason Aldean,0,12,67
1190,Honest,The Chainsmokers,0,4,77
1191,New Rules,Dua Lipa,0,48,6
1192,Wish I Knew You,The Revivalists,0,9,84
1193,Every Little Thing,Carly Pearce,0,17,50
1194,Learn To Let Go,Kesha,0,0,97
1195,All The Pretty Girls,Kenny Chesney,0,14,63
1196,For Her,Chris Lane,0,4,92
1197,The Race,Tay-K,0,20,44
1198,Patty Cake,Kodak Black,0,3,76
1199,OMG,Camila Cabello Featuring Quavo,0,0,81
1200,What About Us,P!nk,0,22,13
1201,Perplexing Pegasus,Rae Sremmurd,0,3,84
1202,B.E.D.,Jacquees,0,13,69
1203,Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",0,0,95
1204,Havana,Camila Cabello Featuring Young Thug,0,46,1
1205,Silence,Marshmello Featuring Khalid,0,23,30
1206,More Girls Like You,Kip Moore,0,12,66
1207,Untouchable,YoungBoy Never Broke Again,0,2,86
1208,I Could Use A Love Song,Maren Morris,0,21,56
1209,Fix A Drink,Chris Janson,0,14,67
1210,Friends,The Carters,0,29,11
1211,I Get The Bag,Gucci Mane Featuring Migos,0,27,11
1212,Roll In Peace,Kodak Black Featuring XXXTENTACION,0,26,31
1213,Look What You Made Me Do,Taylor Swift,3,20,1
1214,Younger Now,Miley Cyrus,0,0,79
1215,Its Every Night Sis,RiceGum Featuring Alissa Violet,0,0,80
1216,Transportin',Kodak Black,0,16,46
1217,Questions,Chris Brown,0,13,78
1218,Jocelyn Flores,XXXTENTACION,0,20,19
1219,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,0,23,24
1220,F**k Love,XXXTENTACION Featuring Trippie Redd,0,21,28
1221,Sauce It Up,Lil Uzi Vert,0,15,49
1222,Everybody Dies In Their Nightmares,XXXTENTACION,0,7,42
1223,444+222,Lil Uzi Vert,0,3,60
1224,What Lovers Do,Maroon 5 Featuring SZA,0,22,9
1225,Revenge,XXXTENTACION,0,2,77
1226,Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,0,2,79
1227,Two,Lil Uzi Vert,0,0,80
1228,For Real,Lil Uzi Vert,0,0,82
1229,UnFazed,Lil Uzi Vert Featuring The Weeknd,0,0,84
1230,No Sleep Leak,Lil Uzi Vert,0,0,90
1231,Depression & Obsession,XXXTENTACION,0,0,91
1232,Dark Queen,Lil Uzi Vert,0,2,91
1233,Save Me,XXXTENTACION,0,0,94
1234,Carry On,XXXTENTACION,0,0,95
1235,Tell Me You Love Me,Demi Lovato,0,20,53
1236,...Ready For It?,Taylor Swift,0,20,4
1237,These Heaux,Bhad Bhabie,0,3,77
1238,Bad At Love,Halsey,0,33,5
1239,Greatest Love Story,LANCO,0,21,45
1240,Sky Walker,Miguel Featuring Travis Scott,0,26,29
1241,No Fear,DeJ Loaf,0,0,100
1242,Too Good At Goodbyes,Sam Smith,0,24,4
1243,Dusk Till Dawn,Zayn Featuring Sia,0,17,44
1244,Love So Soft,Kelly Clarkson,0,13,47
1245,I'll Name The Dogs,Blake Shelton,0,20,56
1246,Found You,Kane Brown,0,0,80
1247,Gucci Gang,Lil Pump,0,24,3
1248,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",0,20,46
1249,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,0,22,40
1250,Rockstar,Post Malone Featuring 21 Savage,8,41,1
1251,Too Much To Ask,Niall Horan,0,12,66
1252,Curve,Gucci Mane Featuring The Weeknd,0,3,67
1253,DNA,BTS,0,4,67
1254,Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",0,0,92
1255,I Fall Apart,Post Malone,0,30,16
1256,Good Old Days,Macklemore Featuring Kesha,0,20,48
1257,Losing Sleep,Chris Young,0,20,60
1258,Like I Loved You,Brett Young,0,20,46
1259,Round Here Buzz,Eric Church,0,19,56
1260,Plain Jane,A$AP Ferg Featuring Nicki Minaj,0,25,27
1261,Hi Bich,Bhad Bhabie,0,0,68
1262,Say A',A Boogie Wit da Hoodie,0,2,75
1263,Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,0,0,84
1264,Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,0,0,86
1265,Smooth,Florida Georgia Line,0,7,89
1266,Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,0,0,20
1267,Pray,Sam Smith Featuring Logic,0,2,55
1268,How Long,Charlie Puth,0,24,21
1269,Heaven,Kane Brown,0,27,15
1270,Dear Hate,Maren Morris Featuring Vince Gill,0,0,91
1271,Lights Down Low,MAX Featuring gnash,0,28,20
1272,Too Hotty,"Quavo, Takeoff & Offset",0,4,91
1273,High End,Chris Brown Featuring Future & Young Thug,0,2,82
1274,Yours,Russell Dickerson,0,20,49
1275,Let You Down,NF,0,28,12
1276,Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,0,0,95
1277,You Broke Up With Me,Walker Hayes,0,19,62
1278,Mayores,Becky G Featuring Bad Bunny,0,18,74
1279,Ask Me How I Know,Garth Brooks,0,7,71
1280,Gorgeous,Taylor Swift,0,4,13
1281,Patek Water,Future & Young Thug Featuring Offset,0,4,50
1282,Meant To Be,Bebe Rexha & Florida Georgia Line,0,52,2
1283,No Cap,Future & Young Thug,0,0,62
1284,Feed Me Dope,Future,0,0,68
1285,All Da Smoke,Future & Young Thug,0,0,77
1286,Candy Paint,Post Malone,0,21,34
1287,Wolves,Selena Gomez X Marshmello,0,23,20
1288,4 Da Gang,Future,0,0,92
1289,Bedroom Floor,Liam Payne,0,0,98
1290,Three,Future & Young Thug,0,0,100
1291,MotorSport,"Migos, Nicki Minaj & Cardi B",0,22,6
1292,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",0,7,35
1293,Ric Flair Drip,Offset & Metro Boomin,0,31,13
1294,Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",0,3,64
1295,My Choppa Hate N****s,21 Savage & Metro Boomin,0,2,73
1296,All On Me,Devin Dawson,0,20,52
1297,Call It What You Want,Taylor Swift,0,2,27
1298,Lemon,N*E*R*D & Rihanna,0,22,36
1299,Rubbin Off The Paint,YBN Nahmir,0,17,46
1300,Wait,Maroon 5,0,24,24
1301,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,0,2,80
1302,Mad Stalkers,"21 Savage, Offset & Metro Boomin",0,0,99
1303,Nightmare,Offset & Metro Boomin,0,0,100
1304,Walk On Water,Eminem Featuring Beyonce,0,5,14
1305,Gummo,6ix9ine,0,20,12
1306,Wanted You,NAV Featuring Lil Uzi Vert,0,7,64
1307,Female,Keith Urban,0,6,69
1308,Betrayed,Lil Xan,0,20,64
1309,The Plan,G-Eazy,0,0,96
1310,Pick It Up,Famous Dex Featuring A$AP Rocky,0,20,54
1311,Echame La Culpa,Luis Fonsi & Demi Lovato,0,20,47
1312,Awful Things,Lil Peep,0,0,79
1313,End Game,Taylor Swift Featuring Ed Sheeran & Future,0,14,18
1314,When We,Tank,0,20,78
1315,Beautiful Trauma,P!nk,0,15,78
1316,No Smoke,YoungBoy Never Broke Again,0,18,61
1317,The Rest Of Our Life,Tim McGraw & Faith Hill,0,0,98
1318,Written In The Sand,Old Dominion,0,20,51
1319,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,0,4,94
1320,MIC Drop,BTS Featuring Desiigner,0,10,28
1321,Codeine Dreaming,Kodak Black Featuring Lil Wayne,0,14,52
1322,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",0,6,75
1323,Legends,Kelsea Ballerini,0,12,65
1324,Total Eclipse Of The Heart,Chloe Kohanski,0,0,99
1325,Perro Fiel,Shakira Featuring Nicky Jam,0,0,100
1326,Him & I,G-Eazy & Halsey,0,20,14
1327,Kooda,6ix9ine,0,9,50
1328,Juice,Yo Gotti,0,6,90
1329,Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,0,0,95
1330,Marry Me,Thomas Rhett,0,20,30
1331,Five More Minutes,Scotty McCreery,0,20,44
1332,Criminal,Natti Natasha x Ozuna,0,3,95
1333,Never Be The Same,Camila Cabello,0,37,6
1334,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,0,0,67
1335,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,0,7,72
1336,My Dawg,Lil Baby,0,7,77
1337,Danger,Migos & Marshmello,0,0,82
1338,Bartier Cardi,Cardi B Featuring 21 Savage,0,20,14
1339,River,Eminem Featuring Ed Sheeran,0,13,32
1340,La Modelo,Ozuna x Cardi B,0,14,52
1341,Eye 2 Eye,Huncho Jack Featuring Takeoff,0,0,65
1342,Modern Slavery,Huncho Jack,0,0,68
1343,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,0,0,69
1344,Black & Chinese,Huncho Jack,0,0,71
1345,Ice Tray,Quavo & Lil Yachty,0,6,74
1346,Dubai Shit,Huncho Jack Featuring Offset,0,0,83
1347,Huncho Jack,Huncho Jack,0,0,87
1348,Motorcycle Patches,Huncho Jack,0,0,90
1349,Saint,Huncho Jack,0,0,92
1350,Stir Fry,Migos,0,21,8
1351,Finesse,Drake,0,23,3
1352,One Foot,WALK THE MOON,0,8,65
1353,This Is Me,Keala Settle & The Greatest Showman Ensemble,0,14,58
1354,Rewrite The Stars,Zac Efron & Zendaya,0,7,70
1355,Corazon,Maluma X Nego do Borel,0,9,87
1356,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",0,4,88
1357,Filthy,Justin Timberlake,0,6,9
1358,All The Stars,Kendrick Lamar & SZA,0,21,7
1359,For You (Fifty Shades Freed),Liam Payne & Rita Ora,0,3,76
1360,Nowadays,Lil Skies Featuring Landon Cube,0,13,55
1361,I Miss You,Clean Bandit Featuring Julia Michaels,0,0,92
1362,Red Roses,Lil Skies Featuring Landon Cube,0,20,69
1363,The Champion,Carrie Underwood Featuring Ludacris,0,3,47
1364,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",0,8,43
1365,Outside Today,YoungBoy Never Broke Again,0,19,31
1366,My My My!,Troye Sivan,0,0,80
1367,Tequila,Dan + Shay,0,38,21
1368,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",0,20,21
1369,IDGAF,Dua Lipa,0,23,49
1370,El Bano,Enrique Iglesias Featuring Bad Bunny,0,0,98
1371,God's Plan,Drake,11,36,1
1372,Diplomatic Immunity,Drake,0,3,7
1373,Mine,Bazzi,0,34,11
1374,Sick Boy,The Chainsmokers,0,3,65
1375,Supplies,Justin Timberlake,0,2,71
1376,No Name,NF,0,0,82
1377,Rock,Plies,0,5,95
1378,Say Something,Justin Timberlake Featuring Chris Stapleton,0,16,9
1379,Walk It Talk It,Migos Featuring Drake,0,22,10
1380,The Middle,"Zedd, Maren Morris & Grey",0,40,5
1381,You Make It Easy,Jason Aldean,0,20,28
1382,Narcos,Migos,0,15,36
1383,BBO (Bad Bitches Only),Migos Featuring 21 Savage,0,2,48
1384,Notice Me,Migos Featuring Post Malone,0,5,52
1385,Supastars,Migos,0,0,53
1386,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",0,0,64
1387,Gang Gang,Migos,0,0,73
1388,New Freezer,Rich The Kid Featuring Kendrick Lamar,0,19,41
1389,Higher We Go (Intro),Migos,0,0,83
1390,Auto Pilot,Migos,0,0,85
1391,Emoji A Chain,Migos,0,0,87
1392,El Farsante,Ozuna & Romeo Santos,0,20,49
1393,Most People Are Good,Luke Bryan,0,18,43
1394,CC,Migos Featuring Gucci Mane,0,0,96
1395,Pray For Me,The Weeknd & Kendrick Lamar,0,20,7
1396,Man Of The Woods,Justin Timberlake,0,0,73
1397,Dura,Daddy Yankee,0,21,43
1398,Hardaway,Derez De'Shon,0,11,61
1399,At The Club,Jacquees X Dej Loaf,0,7,86
1400,The Long Way,Brett Eldredge,0,12,65
1401,Singles You Up,Jordan Davis,0,19,50
1402,A Girl Like You,Easton Corbin,0,0,98
1403,Plug Walk,Rich The Kid,0,20,13
1404,The Ways,Khalid & Swae Lee,0,3,63
1405,Paramedic!,SOB X RBE,0,4,65
1406,Big Shot,Kendrick Lamar & Travis Scott,0,2,71
1407,Black Panther,Kendrick Lamar,0,0,91
1408,I Like Me Better,Lauv,0,41,27
1409,Love Lies,Khalid & Normani,0,49,9
1410,Get You,Daniel Caesar Featuring Kali Uchis,0,6,93
1411,Psycho,Post Malone Featuring Ty Dolla $ign,0,39,1
1412,44 More,Logic,0,5,22
1413,Billy,6ix9ine,0,8,50
1414,Want You Back,5 Seconds Of Summer,0,0,61
1415,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,0,0,73
1416,Booty,Blac Youngsta,0,5,73
1417,She's With Me,High Valley,0,8,79
1418,Break Up In The End,Cole Swindell,0,17,49
1419,Make Me Feel,Janelle Monae,0,0,99
1420,Sad!,XXXTENTACION,0,38,1
1421,Top Off,"DJ Khaled Featuring JAY Z, Future & B",0,7,22
1422,No Excuses,Meghan Trainor,0,12,46
1423,Changes,XXXTENTACION,0,20,18
1424,Powerglide,Rae Sremmurd & Juicy J,0,17,28
1425,Stranger Things,Joyner Lucas & Chris Brown,0,0,91
1426,Tempo,Chris Brown,0,4,88
1427,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,0,16,74
1428,I Lived It,Blake Shelton,0,18,63
1429,Broken Clocks,SZA,0,4,82
1430,Zombie,Bad Wolves,0,18,54
1431,Indica Badu,Logic Featuring Wiz Khalifa,0,0,56
1432,Contra,Logic,0,0,60
1433,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,0,4,63
1434,Overnight,Logic,0,0,68
1435,66,Lil Yachty Featuring Trippie Redd,0,0,73
1436,Midnight,Logic,0,0,74
1437,Wassup,Logic Featuring Big Sean,0,0,83
1438,Delicate,Taylor Swift,0,35,12
1439,Yuck,Logic,0,0,87
1440,Boom!,Lil Yachty Featuring Ugly God,0,0,88
1441,BoomTrap Protocol,Logic,0,0,97
1442,Warm It Up,Logic Featuring Young Sinatra,0,0,98
1443,Freaky Friday,Lil Dicky Featuring Chris Brown,0,20,8
1444,Found / Tonight,Lin-Manuel Miranda & Ben Platt,0,0,49
1445,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,0,5,55
1446,In My Blood,Shawn Mendes,0,23,11
1447,Infinity (888),XXXTENTACION Featuring Joey Bada$$,0,0,83
1448,One Number Away,Luke Combs,0,20,34
1449,Sit Next To Me,Foster The People,0,20,42
1450,Going Down!,XXXTENTACION,0,0,95
1451,Everybody Hates Me,The Chainsmokers,0,0,100
1452,Say Amen (Saturday Night),Panic! At The Disco,0,3,60
1453,Lost In Japan,Shawn Mendes X Zedd,0,16,48
1454,Japan,Famous Dex,0,15,28
1455,Up Down,Morgan Wallen Featuring Florida Georgia Line,0,20,49
1456,For The First Time,Darius Rucker,0,10,58
1457,No Roots,Alice Merton,0,3,84
1458,Call Out My Name,The Weeknd,0,18,4
1459,Be Careful,Cardi B,0,20,11
1460,Wasted Times,The Weeknd,0,3,27
1461,I Was Never There,The Weeknd Featuring Gesaffelstein,0,0,35
1462,Hurt You,The Weeknd Featuring Gesaffelstein,0,0,43
1463,Medicine,Queen Naija,0,20,45
1464,Privilege,The Weeknd,0,0,52
1465,Boo'd Up,Ella Mai,0,35,5
1466,OKRA,"Tyler, The Creator",0,0,89
1467,Take Back Home Girl,Chris Lane Featuring Tori Kelly,0,12,55
1468,"Woman, Amen",Dierks Bentley,0,12,53
1469,Proud,2 Chainz Featuring YG & Offset,0,2,96
1470,Nice For What,Drake,6,25,1
1471,I Like It,"Cardi B, Bad Bunny & J Balvin",0,42,1
1472,Drip,Cardi B Featuring Migos,0,10,21
1473,I Do,Cardi B Featuring SZA,0,5,23
1474,Ring,Cardi B Featuring Kehlani,0,20,28
1475,Get Up 10,Cardi B,0,2,38
1476,Best Life,Cardi B Featuring Chance The Rapper,0,3,39
1477,Bickenhead,Cardi B,0,2,43
1478,Thru Your Phone,Cardi B,0,3,50
1479,She Bad,Cardi B & YG,0,2,57
1480,Money Bag,Cardi B,0,2,58
1481,Diamond Teeth Samurai,YoungBoy Never Broke Again,0,5,59
1482,One Kiss,Calvin Harris & Dua Lipa,0,21,26
1483,A$AP Forever,A$AP Rocky Featuring Moby,0,2,63
1484,Barbie Tingz,Nicki Minaj,0,4,25
1485,Get Along,Kenny Chesney,0,21,22
1486,Chun-Li,Nicki Minaj,0,16,10
1487,Esskeetit,Lil Pump,0,12,24
1488,Cry Pretty,Carrie Underwood,0,12,48
1489,Let Me,Zayn,0,0,73
1490,Guatemala,Swae Lee Featuring Slim Jxmmi,0,0,84
1491,Anybody,Young Thug Featuring Nicki Minaj,0,0,89
1492,Gotti,6ix9ine,0,0,99
1493,No Tears Left To Cry,Ariana Grande,0,27,3
1494,ATM,J. Cole,0,5,6
1495,Kevin's Heart,J. Cole,0,5,8
1496,KOD,J. Cole,0,12,10
1497,Motiv8,J. Cole,0,2,15
1498,1985 (Intro To The Fall Off),J. Cole,0,2,20
1499,The Cut Off,J. Cole Featuring kiLL edward,0,0,28
1500,Brackets,J. Cole,0,0,30
1501,Wake Me Up!,Avicii,0,54,34
1502,Window Pain (Outro),J. Cole,0,0,41
1503,Once An Addict (Interlude),J. Cole,0,0,47
1504,Intro,Meek Mill,0,0,53
1505,Babe,Sugarland Featuring Taylor Swift,0,2,72
1506,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",0,21,36
1507,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,0,9,36
1508,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,0,13,66
1509,Better Now,Post Malone,0,39,3
1510,Paranoid,Post Malone,0,6,11
1511,Rich & Sad,Post Malone,0,6,14
1512,Spoil My Night,Post Malone Featuring Swae Lee,0,5,15
1513,Ball For Me,Post Malone Featuring Nicki Minaj,0,14,16
1514,Same Bitches,Post Malone Featuring G-Eazy & YG,0,3,20
1515,Zack And Codeine,Post Malone,0,3,23
1516,Over Now,Post Malone,0,3,24
1517,Takin' Shots,Post Malone,0,3,29
1518,92 Explorer,Post Malone,0,3,40
1519,Otherside,Post Malone,0,2,46
1520,Blame It On Me,Post Malone,0,2,47
1521,Sugar Wraith,Post Malone,0,0,57
1522,Jonestown (Interlude),Post Malone,0,0,73
1523,Overdose,YoungBoy Never Broke Again,0,9,42
1524,Ye vs The People,Kanye West Featuring T.I.,0,0,85
1525,This Is America,Childish Gambino,2,17,1
1526,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,0,5,16
1527,Beautiful Crazy,Luke Combs,0,11,41
1528,Done For Me,Charlie Puth Featuring Kehlani,0,9,53
1529,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,0,3,79
1530,Shoota,Playboi Carti Featuring Lil Uzi Vert,0,4,46
1531,Yes Indeed,Lil Baby & Drake,0,29,6
1532,Lucid Dreams,Juice WRLD,0,37,2
1533,Me Niego,Reik Featuring Ozuna & Wisin,0,3,77
1534,Lust,Lil Skies,0,4,87
1535,All Girls Are The Same,Juice WRLD,0,20,41
1536,Change Lanes,Kevin Gates,0,0,68
1537,Like That,Kris Wu,0,0,73
1538,Southside,Lil Baby,0,0,79
1539,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,0,6,74
1540,Let It Sing,Kevin Gates,0,0,82
1541,Sangria Wine,Pharrell Williams x Camila Cabello,0,0,83
1542,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",0,4,78
1543,Champion,NAV Featuring Travis Scott,0,0,86
1544,Downtown's Dead,Sam Hunt,0,2,94
1545,Don't Go Breaking My Heart,Backstreet Boys,0,10,63
1546,I'm Upset,Drake,0,16,7
1547,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,0,8,45
1548,TATI,6ix9ine Featuring DJ SPINKING,0,5,46
1549,Infrared,Pusha T,0,0,65
